City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3076,Marzuq,YE,72.64,few clouds,14.4,46.4667,Quinta Samay
3077,Erie,US,63.0,broken clouds,42.7667,-78.6664,Hampton Inn East Aurora
3078,Praia,CV,75.2,broken clouds,14.9215,-23.5087,LT Aparthotel
3079,Ponta Do Sol,PT,66.2,few clouds,32.6667,-17.1,Hotel do Campo
3081,Mahon,ES,60.8,clear sky,39.8885,4.2658,ARTIEM Capri
3086,Camana,PE,71.02,overcast clouds,-16.6228,-72.7111,Hostal Morales
3087,Richards Bay,ZA,69.17,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
3088,San Juan,AR,73.11,clear sky,-31.5375,-68.5364,Hotel Provincial
3089,Buncrana,IE,64.4,clear sky,55.1333,-7.45,Inishowen Gateway Hotel
3090,Ko Samui,TH,84.0,overcast clouds,9.5357,99.9357,"The Passage Samui Villas & Resort, Thailand"
3091,Querecotillo,PE,88.75,scattered clouds,-4.8378,-80.6456,La casa de Roberto
3092,Matay,EG,80.02,clear sky,28.419,30.7792,Nag Aespen
3093,Pala,TD,81.45,light rain,9.3642,14.9046,Nectar Hôtel de Pala
3094,Maragogi,BR,82.26,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
3095,Nouadhibou,MR,69.8,clear sky,20.931,-17.0347,El Medina
3096,Soyo,AO,79.68,overcast clouds,-6.1349,12.3689,Hotel Mpampa
3098,Pozo Colorado,PY,81.09,scattered clouds,-23.4923,-58.7972,Hospedaje la Amistad
3099,Coquimbo,CL,64.4,clear sky,-29.9533,-71.3436,Punto de encuentro
3100,Tucumcari,US,66.2,clear sky,35.1717,-103.725,Holiday Inn Express & Suites Tucumcari
3103,Luderitz,,62.01,clear sky,-26.6481,15.1594,LÜDERITZ NEST HOTEL
3105,Cabedelo,BR,82.4,broken clouds,-6.9811,-34.8339,Hotel Pigalle
3106,De Aar,ZA,68.09,clear sky,-30.6497,24.0123,Stoneburgh B&B
3107,Delijan,IR,67.53,broken clouds,33.9905,50.6838,ایزوگام آسیاگستردلیجان
3108,Kahului,US,71.6,light rain,20.8947,-156.47,Maui Seaside Hotel
3109,Jeremie,HT,81.03,few clouds,18.65,-74.1167,Auberge’Inn
3110,Lahij,YE,79.47,broken clouds,13.1667,44.5833,Quinta Samay
3111,Pemangkat,ID,79.18,broken clouds,1.1667,108.9667,Ramah Kost KITA
3118,Middlebury,US,68.0,scattered clouds,44.0153,-73.1673,Courtyard by Marriott Middlebury
3121,San Carlos De Bariloche,AR,64.99,clear sky,-41.1456,-71.3082,Hotel Patagonia
3122,Farafangana,MG,72.03,moderate rain,-22.8167,47.8333,Miarina
3123,Tiznit,MA,63.16,scattered clouds,29.5833,-9.5,Quinta Samay
3124,Tocopilla,CL,69.46,few clouds,-22.092,-70.1979,Hotel Galvarino
3126,Sao Caetano De Odivelas,BR,80.42,light rain,-0.75,-48.02,Hotel do Luttis
3127,Salalah,OM,82.29,scattered clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
3128,Port Shepstone,ZA,69.31,light rain,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
3130,Menongue,AO,68.99,broken clouds,-14.6585,17.691,Ritz Lauca
3131,Mitsamiouli,KM,80.47,light rain,-11.3847,43.2844,Foyer ADM
3133,Moron,AR,73.99,scattered clouds,-34.6534,-58.6198,Hotel Morón
3136,Erzin,TR,71.6,clear sky,36.9559,36.2,Artemis Otel
3137,Santa Lucia,ES,71.6,broken clouds,27.9117,-15.5407,Las Tirajanas
3141,Walvis Bay,,60.8,few clouds,-22.9575,14.5053,Oyster Box Guesthouse
3142,Gazli,UZ,76.28,broken clouds,40.1333,63.45,Quinta Samay
3143,Aloleng,PH,77.34,clear sky,16.1307,119.7824,Agno Umbrella Rocks
3145,Saint George,US,78.01,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
3147,Lufilufi,WS,75.2,broken clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
3149,Pottstown,US,68.0,clear sky,40.2454,-75.6496,The Hotel at Pottstown (formerly the Comfort Inn & Suites)
3151,Madang,PG,75.74,broken clouds,-5.2246,145.7966,Comfort Inn Hotel
3152,Porto Novo,BJ,86.0,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
3153,Micheweni,TZ,80.37,light rain,-4.9667,39.8333,Quinta Samay
3154,Brenham,US,78.01,clear sky,30.1669,-96.3977,Hampton Inn & Suites Brenham
3155,Rio Grande,BR,77.0,few clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
3156,Moranbah,AU,65.17,overcast clouds,-22.0016,148.0466,Direct Hotels - Monterey Moranbah
3157,Santa Comba,ES,66.99,overcast clouds,43.0331,-8.8093,Hotel Xallas
3160,Marawi,PH,77.0,broken clouds,7.9986,124.2928,Derogongan Residence
3162,San Jose,US,63.0,broken clouds,37.3394,-121.895,The Westin San Jose
3164,Salinopolis,BR,82.15,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
