City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
67,Vila Do Maio,15.1333,-23.2167,69.8,78,20,16.11,CV,2021-04-18 22:36:10
68,Bengkulu,-3.8004,102.2655,74.05,89,98,4.0,ID,2021-04-18 22:36:11
69,Punta Arenas,-53.15,-70.9167,51.8,82,99,8.05,CL,2021-04-18 22:35:24
70,Praia Da Vitoria,38.7333,-27.0667,60.8,88,20,6.35,PT,2021-04-18 22:31:32
71,Vardo,70.3705,31.1107,32.0,80,0,17.34,NO,2021-04-18 22:31:29
72,Kieta,-6.2167,155.6333,84.52,67,54,3.69,PG,2021-04-18 22:36:11
73,Faya,18.3851,42.4509,64.4,23,0,8.05,SA,2021-04-18 22:36:12
74,Longyearbyen,78.2186,15.6401,28.4,93,90,13.8,SJ,2021-04-18 22:36:12
75,Mount Gambier,-37.8333,140.7667,55.4,100,75,10.36,AU,2021-04-18 22:36:12
76,Bereda,43.2686,-7.5406,51.01,82,100,1.01,ES,2021-04-18 22:36:12
77,Houma,29.5958,-90.7195,68.0,63,1,9.22,US,2021-04-18 22:36:13
78,Boden,65.8252,21.6886,32.0,86,68,4.61,SE,2021-04-18 22:36:13
79,Sorland,67.667,12.6934,44.15,77,2,23.98,NO,2021-04-18 22:36:13
80,Arcata,40.8665,-124.0828,55.0,87,90,12.66,US,2021-04-18 22:35:29
81,Ancud,-41.8697,-73.8203,55.4,100,90,14.97,CL,2021-04-18 22:36:14
82,Kapaa,22.0752,-159.319,78.8,61,20,11.5,US,2021-04-18 22:36:14
83,Krasnoarmeysk,51.0239,45.6969,49.82,77,100,5.5,RU,2021-04-18 22:36:14
84,Mapiri,-15.25,-68.1667,72.84,91,42,1.99,BO,2021-04-18 22:36:15
85,Oranjemund,-28.55,16.4333,68.52,57,57,4.25,NA,2021-04-18 22:36:15
86,Aswan,24.0934,32.907,83.43,32,0,9.28,EG,2021-04-18 22:36:16
87,Phalaborwa,-23.943,31.1411,59.0,67,3,2.3,ZA,2021-04-18 22:36:16
88,Moosomin,50.1333,-101.6677,32.05,56,100,16.87,CA,2021-04-18 22:32:23
89,Port Blair,11.6667,92.75,80.47,76,48,6.13,IN,2021-04-18 22:36:16
90,Mumford,5.2618,-0.759,76.75,80,100,5.1,GH,2021-04-18 22:36:17
91,Karasburg,-28.0167,18.75,73.63,28,1,11.01,NA,2021-04-18 22:36:17
92,Clyde River,70.4692,-68.5914,6.8,85,90,12.66,CA,2021-04-18 22:36:17
93,Barrow,71.2906,-156.7887,24.8,74,1,11.5,US,2021-04-18 22:32:08
94,Nizhnevartovsk,60.9344,76.5531,6.8,61,40,8.95,RU,2021-04-18 22:36:18
95,Port Elizabeth,-33.918,25.5701,64.4,55,0,8.05,ZA,2021-04-18 22:36:18
96,Gobabis,-22.45,18.9667,65.23,44,78,11.86,NA,2021-04-18 22:36:19
97,Khatanga,71.9667,102.5,-3.35,97,97,7.65,RU,2021-04-18 22:36:19
98,Tiksi,71.6872,128.8694,8.78,86,100,12.15,RU,2021-04-18 22:36:19
99,Mar Del Plata,-38.0023,-57.5575,70.0,83,0,6.91,AR,2021-04-18 22:36:20
100,Esperance,-33.8667,121.9,50.0,87,0,4.61,AU,2021-04-18 22:36:20
101,Samarai,-10.6167,150.6667,83.89,74,100,13.4,PG,2021-04-18 22:36:20
102,Svetlaya,46.5389,138.3297,46.0,61,100,8.21,RU,2021-04-18 22:36:21
103,Norman Wells,65.282,-126.8329,48.2,43,1,5.75,CA,2021-04-18 22:36:21
104,Coquimbo,-29.9533,-71.3436,57.2,88,90,10.36,CL,2021-04-18 22:36:21
105,Busselton,-33.65,115.3333,60.37,78,87,6.6,AU,2021-04-18 22:36:22
106,Kisangani,0.5167,25.2,70.86,98,98,2.66,CD,2021-04-18 22:36:22
107,Flinders,-34.5833,150.8552,59.0,71,0,11.5,AU,2021-04-18 22:36:22
108,Airai,-8.9266,125.4092,61.18,67,89,1.97,TL,2021-04-18 22:36:22
109,Santa Maria,-29.6842,-53.8069,73.4,64,40,5.75,BR,2021-04-18 22:35:52
110,Atuona,-9.8,-139.0333,80.47,77,11,18.01,PF,2021-04-18 22:36:23
111,Mackenzie,55.2999,-123.1698,44.6,39,20,12.66,CA,2021-04-18 22:36:23
112,Bethel,41.3712,-73.414,60.8,36,90,5.75,US,2021-04-18 22:35:58
113,Viedma,-40.8135,-62.9967,69.84,73,32,12.82,AR,2021-04-18 22:36:24
114,Terrace Bay,48.7834,-87.1,42.8,42,90,2.3,CA,2021-04-18 22:36:24
115,Bagenalstown,52.7003,-6.9618,45.0,85,100,1.99,IE,2021-04-18 22:36:24
116,Ixtapa,20.7,-105.2,79.0,65,1,11.5,MX,2021-04-18 22:36:25
117,Souillac,-20.5167,57.5167,78.8,89,75,11.5,MU,2021-04-18 22:36:25
118,Leningradskiy,69.3833,178.4167,31.59,71,37,6.58,RU,2021-04-18 22:36:25
119,Hasaki,35.7333,140.8333,55.99,41,0,8.05,JP,2021-04-18 22:36:25
120,Marihatag,8.7936,126.2969,77.63,76,100,10.11,PH,2021-04-18 22:36:26
121,Geraldton,-28.7667,114.6,59.0,67,40,10.36,AU,2021-04-18 22:36:26
122,Severo-Kurilsk,50.6789,156.125,35.29,96,100,27.34,RU,2021-04-18 22:32:13
